id,class
100090,smooth
100134,spiral
100322,spiral
100380,spiral
100458,smooth
100479,smooth
100520,spiral
100672,smooth
100673,spiral
100724,smooth
100727,smooth
100765,spiral
100801,spiral
100813,spiral
100821,spiral
100859,spiral
100867,smooth
100951,spiral
101074,spiral
101092,smooth
101140,spiral
101181,spiral
101244,spiral
101290,smooth
101291,smooth
101298,spiral
101307,spiral
101623,smooth
101627,smooth
101718,spiral
101756,spiral
101858,smooth
101943,smooth
101991,spiral
102000,smooth
102040,spiral
102182,smooth
102243,spiral
102260,smooth
102402,spiral
102407,spiral
102422,spiral
102433,spiral
102474,spiral
102513,smooth
102602,smooth
102735,spiral
102765,spiral
102804,smooth
102928,smooth
102933,smooth
102964,spiral
102977,smooth
102990,spiral
103040,spiral
103075,spiral
103260,smooth
103348,smooth
103354,smooth
103533,spiral
103707,smooth
103718,smooth
103750,spiral
103818,spiral
103819,smooth
103902,smooth
103950,spiral
104040,spiral
104096,smooth
104143,smooth
104159,smooth
104173,smooth
104196,smooth
104234,spiral
104268,spiral
104389,spiral
104420,spiral
104422,smooth
104536,spiral
104610,spiral
104611,smooth
104612,smooth
104703,smooth
104934,spiral
104962,spiral
104988,smooth
105009,spiral
105020,smooth
105069,spiral
105088,smooth
105165,smooth
105218,spiral
105365,spiral
105381,spiral
105447,smooth
105459,smooth
105497,spiral
105507,smooth
105572,spiral
105700,spiral
105755,smooth
105797,smooth
105870,smooth
105902,spiral
105925,spiral
105940,spiral
106028,smooth
106040,smooth
106170,smooth
106176,spiral
106390,spiral
106621,spiral
106652,smooth
106664,spiral
106773,smooth
106777,spiral
106800,smooth
106896,smooth
107012,spiral
107084,spiral
107117,spiral
107143,smooth
107159,spiral
107202,spiral
107229,spiral
107272,smooth
107298,smooth
107314,spiral
107379,spiral
107394,smooth
107435,smooth
107454,spiral
107461,smooth
107524,spiral
107553,smooth
107555,spiral
107573,smooth
107583,spiral
107597,spiral
107606,spiral
107619,smooth
107747,spiral
107828,smooth
107849,smooth
107859,spiral
107888,smooth
107961,smooth
107967,smooth
107975,smooth
108038,spiral
108146,smooth
108195,smooth
108251,spiral
108272,spiral
108574,spiral
108580,smooth
108608,spiral
108624,smooth
108645,smooth
108672,smooth
108692,smooth
108715,smooth
108717,smooth
108772,spiral
108928,smooth
108929,spiral
108961,spiral
108994,smooth
109011,spiral
109033,smooth
109132,spiral
109155,smooth
109215,smooth
109282,smooth
109333,spiral
109366,spiral
109402,smooth
109404,smooth
109568,spiral
109688,spiral
109718,spiral
109744,spiral
109750,smooth
109780,spiral
109868,spiral
110121,smooth
110139,smooth
110195,smooth
110285,spiral
110306,smooth
110313,smooth
110339,spiral
110375,spiral
110384,spiral
110404,spiral
110411,smooth
110429,spiral
110466,spiral
110480,smooth
110521,spiral
110633,spiral
110636,smooth
110713,spiral
110805,smooth
110808,spiral
110821,smooth
110844,spiral
110858,smooth
110887,spiral
111141,spiral
111274,smooth
111428,smooth
111484,spiral
111491,spiral
111514,spiral
111534,spiral
111615,spiral
111622,spiral
111658,spiral
111681,smooth
111792,spiral
111799,spiral
111882,spiral
112119,smooth
112125,spiral
112135,smooth
112177,spiral
112263,spiral
112314,spiral
112404,spiral
112420,spiral
112438,spiral
112444,spiral
112479,spiral
112512,smooth
112592,smooth
112623,spiral
112628,smooth
112769,spiral
112846,smooth
112918,smooth
112997,spiral
113118,smooth
113279,smooth
113289,spiral
113420,smooth
113483,smooth
113518,smooth
113566,smooth
113655,spiral
113746,smooth
113761,smooth
113828,smooth
113965,smooth
113971,spiral
113992,smooth
113999,smooth
114080,spiral
114190,smooth
114191,smooth
114240,spiral
114294,smooth
114319,smooth
114502,spiral
114517,spiral
114550,spiral
114587,spiral
114588,smooth
114650,smooth
114658,spiral
114695,smooth
114696,smooth
114741,spiral
114772,spiral
114815,spiral
114863,spiral
114957,spiral
114965,spiral
114966,spiral
114993,smooth
115051,smooth
115094,smooth
115109,smooth
115114,spiral
115126,spiral
115143,spiral
115235,smooth
115330,smooth
115545,smooth
115571,spiral
115587,spiral
115659,spiral
115675,spiral
115815,spiral
115824,spiral
115854,smooth
115883,smooth
115886,smooth
116045,smooth
116064,spiral
116201,spiral
116210,smooth
116306,spiral
116328,spiral
116435,smooth
116565,smooth
116723,smooth
116815,spiral
116844,smooth
116879,smooth
116896,spiral
116927,smooth
116979,spiral
117090,smooth
117158,spiral
117300,spiral
117440,spiral
117492,spiral
117494,spiral
117510,smooth
117641,spiral
117722,spiral
117743,spiral
117813,smooth
118015,smooth
118044,smooth
118063,smooth
118074,smooth
118119,smooth
118141,smooth
118323,spiral
118348,smooth
118539,spiral
118638,spiral
118650,spiral
118712,spiral
118723,spiral
118944,smooth
119009,spiral
119150,spiral
119262,spiral
119277,spiral
119314,smooth
119321,spiral
119334,smooth
119384,smooth
119398,smooth
119573,spiral
119599,spiral
119666,smooth
119675,spiral
119693,smooth
119740,spiral
119766,smooth
119773,spiral
119798,smooth
119831,spiral
119967,spiral
120006,smooth
120036,smooth
120042,spiral
120062,smooth
120107,smooth
120197,spiral
120228,spiral
120260,spiral
120307,spiral
120314,smooth
120337,spiral
120383,spiral
120384,spiral
120433,spiral
120438,smooth
120535,smooth
120548,spiral
120566,smooth
120632,spiral
120716,spiral
120763,smooth
120774,smooth
120891,smooth
120998,spiral
121006,spiral
121048,spiral
121059,smooth
121085,spiral
121164,spiral
121190,smooth
121262,smooth
121346,smooth
121394,spiral
121459,smooth
121527,spiral
121558,spiral
121590,smooth
121592,smooth
121768,spiral
121801,smooth
121899,smooth
121902,spiral
121946,smooth
121960,smooth
121973,spiral
122020,smooth
122042,spiral
122093,spiral
122152,spiral
122226,spiral
122240,spiral
122293,spiral
122295,spiral
122298,smooth
122307,smooth
122445,spiral
122469,smooth
122477,spiral
122608,smooth
122634,smooth
122654,spiral
122672,smooth
122717,smooth
122754,smooth
122818,spiral
122877,smooth
122995,spiral
123024,spiral
123059,smooth
123067,smooth
123118,smooth
123133,spiral
123141,smooth
123192,smooth
123207,spiral
123243,smooth
123349,spiral
123433,smooth
123470,spiral
123486,spiral
123540,spiral
123679,smooth
123695,smooth
123700,spiral
123811,smooth
123871,spiral
123938,spiral
124059,spiral
124076,smooth
124175,spiral
124200,spiral
124214,spiral
124265,spiral
124299,spiral
124342,spiral
124375,smooth
124443,spiral
124548,spiral
124641,spiral
124648,smooth
124882,spiral
124970,spiral
124977,smooth
125006,smooth
125119,smooth
125129,smooth
125151,smooth
125199,smooth
125304,smooth
125460,spiral
125507,spiral
125576,smooth
125678,spiral
125683,smooth
125687,spiral
125719,spiral
125739,smooth
125756,spiral
125770,spiral
125797,spiral
125798,smooth
125960,spiral
125975,smooth
125983,smooth
126077,spiral
126085,spiral
126132,spiral
126202,spiral
126234,spiral
126260,spiral
126279,spiral
126304,spiral
126364,spiral
126391,smooth
126406,spiral
126475,smooth
126486,spiral
126510,smooth
126540,smooth
126719,smooth
126847,smooth
126961,smooth
127210,spiral
127231,spiral
127333,spiral
127386,spiral
127417,spiral
127441,spiral
127494,spiral
127498,spiral
127552,spiral
127574,spiral
127627,smooth
127687,smooth
127788,smooth
127795,spiral
127817,smooth
127857,smooth
127901,spiral
127970,spiral
128068,smooth
128128,spiral
128132,spiral
128147,smooth
128216,spiral
128220,smooth
128277,smooth
128345,spiral
128357,smooth
128389,smooth
128646,spiral
128650,spiral
128664,spiral
128799,smooth
128832,smooth
128936,smooth
128978,smooth
129093,spiral
129124,spiral
129170,spiral
129199,spiral
129202,smooth
129221,spiral
129277,smooth
129359,smooth
129365,smooth
129439,smooth
129456,smooth
129458,smooth
129480,spiral
129483,spiral
129556,smooth
129622,spiral
129721,smooth
129780,smooth
130026,spiral
130055,spiral
130313,spiral
130355,smooth
130403,smooth
130450,smooth
130454,spiral
130456,smooth
130460,spiral
130475,spiral
130558,smooth
130565,spiral
130745,smooth
130759,smooth
130781,smooth
130803,smooth
130853,spiral
130971,smooth
131009,spiral
131030,spiral
131049,spiral
131138,spiral
131164,smooth
131208,spiral
131211,smooth
131246,spiral
131395,spiral
131465,spiral
131500,spiral
131504,smooth
131635,smooth
131848,spiral
131855,smooth
131934,spiral
131939,smooth
132127,spiral
132280,smooth
132342,smooth
132353,spiral
132382,smooth
132416,smooth
132419,smooth
132535,spiral
132639,spiral
132658,spiral
132754,smooth
132767,spiral
132802,smooth
132813,smooth
132856,spiral
132907,spiral
132957,smooth
133036,smooth
133100,spiral
133161,smooth
133282,spiral
133287,smooth
133289,smooth
133307,spiral
133435,spiral
133499,spiral
133665,spiral
133675,smooth
133854,spiral
133862,smooth
133870,smooth
134055,smooth
134068,smooth
134087,smooth
134234,smooth
134266,spiral
134270,smooth
134277,smooth
134289,smooth
134368,spiral
134412,spiral
134415,smooth
134425,spiral
134463,smooth
134470,spiral
134569,spiral
134646,spiral
134718,spiral
134742,spiral
134798,smooth
134817,spiral
134877,smooth
134880,spiral
134899,smooth
134915,spiral
134981,spiral
135134,smooth
135172,smooth
135173,smooth
135184,smooth
135208,spiral
135256,spiral
135295,spiral
135336,spiral
135338,spiral
135352,smooth
135359,smooth
135494,smooth
135499,spiral
135536,smooth
135616,smooth
135705,smooth
135873,spiral
135972,smooth
136211,spiral
136233,smooth
136289,spiral
136414,smooth
136420,spiral
136565,smooth
136569,spiral
136581,smooth
136592,smooth
136667,spiral
136756,spiral
136821,smooth
136823,spiral
136827,smooth
136929,smooth
136937,spiral
137135,smooth
137179,spiral
137350,spiral
137376,spiral
137405,smooth
137585,smooth
137640,spiral
137644,smooth
137693,spiral
137709,smooth
137749,spiral
137887,spiral
138164,smooth
138204,smooth
138236,spiral
138251,spiral
138290,spiral
138339,smooth
138351,smooth
138360,smooth
138436,smooth
138452,spiral
138490,spiral
138565,smooth
138725,smooth
138769,smooth
138772,smooth
138816,spiral
138916,smooth
138962,smooth
139040,spiral
139077,smooth
139202,smooth
139205,smooth
139220,spiral
139266,spiral
139269,smooth
139303,smooth
139313,spiral
139315,spiral
139352,spiral
139355,smooth
139391,spiral
139432,spiral
139523,smooth
139540,spiral
139554,smooth
139556,spiral
139596,spiral
139635,spiral
139668,spiral
139679,spiral
139712,spiral
139758,spiral
139862,smooth
139919,spiral
139932,spiral
139940,smooth
139955,smooth
140023,spiral
140063,smooth
140070,spiral
140084,spiral
140154,spiral
140163,spiral
140176,smooth
140239,spiral
140246,smooth
140254,smooth
140329,smooth
140453,spiral
140552,smooth
140614,smooth
140661,smooth
140673,spiral
140695,smooth
140764,spiral
140829,spiral
140849,smooth
140949,spiral
141084,spiral
